,Time,Sensor 2,Sensor 4,Notes
0,2024-08-13 14:05:15,433,550,!!!!!!!!!!!!!!!!
1,2024-08-13 14:05:15,434,550,!!!!!!!!!!!!!!!!
2,2024-08-13 14:05:16,437,549,!!!!!!!!!!!!!!!!
3,2024-08-13 14:05:13,443,549,!!!!!!!!!!!!!!!!
4,2024-08-13 14:05:17,452,552,!!!!!!!!!!!!!!!!
5,2024-08-13 14:05:18,457,555,!!!!!!!!!!!!!!!!
6,2024-08-13 14:05:18,455,559,!!!!!!!!!!!!!!!!
7,2024-08-13 14:05:18,455,559,!!!!!!!!!!!!!!!!
8,2024-08-13 14:05:17,452,563,!!!!!!!!!!!!!!!!
9,2024-08-13 14:05:19,449,563,!!!!!!!!!!!!!!!!
10,2024-08-13 14:05:20,441,565,!!!!!!!!!!!!!!!!
11,2024-08-13 14:05:21,439,562,!!!!!!!!!!!!!!!!
